Day,Group,Exercise,Minutes,Calories Burned
2023-10-06,Uncategorized,"Treadmill Walking, Moderate",69.0,-196.35
2023-10-06,Uncategorized,Resistance Training,30.0,-88.71
2023-10-06,Uncategorized,General Walking,20.0,-86.51
2023-10-07,Uncategorized,Resistance Training,30.0,-88.71
2023-10-07,Uncategorized,General Walking,24.0,-103.81
2023-10-08,Uncategorized,General Walking,240.0,-1038.12
2023-10-09,Uncategorized,"Treadmill Walking, Moderate",73.0,-207.74
2023-10-09,Uncategorized,General Walking,23.0,-99.49
2023-10-10,Uncategorized,Video Group Classes,30.0,-103.87
2023-10-10,Uncategorized,"Treadmill Walking, Moderate",63.0,-179.28
2023-10-10,Uncategorized,Resistance Training,30.0,-88.71
2023-10-10,Uncategorized,General Walking,21.0,-90.84
2023-10-11,Uncategorized,"Treadmill Walking, Moderate",63.0,-179.28
2023-10-12,Uncategorized,Video Group Classes,30.0,-103.87
2023-10-12,Uncategorized,"Treadmill Walking, Moderate",49.0,-139.44
2023-10-12,Uncategorized,Resistance Training,30.0,-88.71
2023-10-12,Uncategorized,General Walking,20.0,-86.51
2023-10-13,Uncategorized,General Walking,20.0,-86.51
2023-10-14,Uncategorized,General Walking,66.0,-285.48
2023-10-14,Uncategorized,General Walking,20.0,-86.51
2023-10-15,Uncategorized,General Walking,22.0,-95.16
2023-10-15,Uncategorized,"Treadmill Walking, Moderate",60.0,-170.74
2023-10-15,Uncategorized,Resistance Training,30.0,-88.71
2023-10-16,Uncategorized,General Walking,28.0,-121.11
2023-10-17,Uncategorized,Video Group Classes,35.0,-119.52
2023-10-17,Uncategorized,"Treadmill Walking, Moderate",39.0,-110.98
2023-10-17,Uncategorized,General Walking,20.0,-86.51
2023-10-18,Uncategorized,"Treadmill Walking, Moderate",52.0,-147.98
2023-10-18,Uncategorized,Resistance Training,30.0,-88.71
2023-10-18,Uncategorized,General Walking,30.0,-129.76
2023-10-19,Uncategorized,Video Group Classes,35.0,-119.52
2023-10-20,Uncategorized,Resistance Training,30.0,-88.71
2023-10-20,Uncategorized,"Treadmill Walking, Moderate",53.0,-150.82
2023-10-20,Uncategorized,General Walking,20.0,-86.51
2023-10-21,Uncategorized,General Walking,62.0,-268.18
2023-10-22,Uncategorized,General Walking,76.0,-328.74
2023-10-22,Uncategorized,General Walking,20.0,-86.51
2023-10-23,Uncategorized,"Treadmill Walking, Moderate",45.0,-128.06
2023-10-23,Uncategorized,General Walking,20.0,-86.51
2023-10-23,Uncategorized,Resistance Training,30.0,-88.71
2023-10-24,Uncategorized,Video Group Classes,35.0,-119.52
2023-10-24,Uncategorized,"Treadmill Walking, Moderate",54.0,-153.67
2023-10-24,Uncategorized,General Walking,20.0,-86.51
2023-10-25,Uncategorized,"Treadmill Walking, Moderate",63.0,-179.28
2023-10-25,Uncategorized,General Walking,20.0,-86.51
2023-10-26,Uncategorized,Video Group Classes,35.0,-119.52
2023-10-26,Uncategorized,General Walking,20.0,-86.51
2023-10-26,Uncategorized,Resistance Training,30.0,-88.71
2023-10-27,Uncategorized,"Treadmill Walking, Moderate",65.0,-183.94
2023-10-27,Uncategorized,Resistance Training,30.0,-88.71
2023-10-30,Uncategorized,"Treadmill Walking, Moderate",63.0,-178.28
2023-10-31,Uncategorized,Video Group Classes,35.0,-119.52
2023-10-31,Uncategorized,"Treadmill Walking, Moderate",69.0,-195.26
2023-10-31,Uncategorized,Resistance Training,30.0,-88.71
2023-11-02,Uncategorized,Video Group Classes,35.0,-119.52
2023-11-02,Uncategorized,"Treadmill Walking, Moderate",60.0,-169.79
2023-11-04,Uncategorized,General Walking,52.0,-223.67
2023-11-04,Uncategorized,Resistance Training,60.0,-169.79
2023-11-06,Uncategorized,"Treadmill Walking, Moderate",48.0,-135.83
2023-11-06,Uncategorized,General Walking,24.0,-103.23
2023-11-07,Uncategorized,Video Group Classes,35.0,-119.52
2023-11-07,Uncategorized,"Treadmill Walking, Moderate",45.0,-127.34
2023-11-07,Uncategorized,Resistance Training,30.0,-84.9
2023-11-07,Uncategorized,General Walking,23.0,-98.93
2023-11-08,Uncategorized,"Treadmill Walking, Moderate",46.0,-130.17
2023-11-08,Uncategorized,General Walking,24.0,-103.23
2023-11-09,Uncategorized,Video Group Classes,35.0,-119.52
2023-11-09,Uncategorized,"Treadmill Walking, Moderate",55.0,-155.64
2023-11-10,Uncategorized,Resistance Training,30.0,-84.9
2023-11-10,Uncategorized,General Walking,30.0,-128.14
2023-11-11,Uncategorized,Resistance Training,30.0,-84.9
2023-11-11,Uncategorized,General Walking,48.0,-205.02
2023-11-12,Uncategorized,Digging/Shovelling,30.0,-145.0
2023-11-12,Uncategorized,General Walking,22.0,-93.97
2023-11-13,Uncategorized,Running General,52.0,-204.57
2023-11-14,Uncategorized,Video Group Classes,25.0,-84.3
2023-11-14,Uncategorized,"Treadmill Walking, Moderate",42.0,-118.02
2023-11-14,Uncategorized,Resistance Training,30.0,-84.9
2023-11-16,Uncategorized,Video Group Classes,35.0,-118.02
2023-11-16,Uncategorized,General Walking,20.0,-85.42
2023-11-17,Uncategorized,Resistance Training,30.0,-84.9
2023-11-18,Uncategorized,General Walking,55.0,-234.92
2023-11-19,Uncategorized,General Walking,57.0,-243.46
2023-11-19,Uncategorized,General Walking,20.0,-85.42
2023-11-20,Uncategorized,Video Group Classes,35.0,-118.02
2023-11-21,Uncategorized,General Walking,20.0,-85.42
